t_s,mode,power_mw
28.3,infer,180.0
28.3005,idle_listen,45.0
28.4,infer,180.0
28.4005,idle_listen,45.0
28.5,infer,180.0
28.5005,idle_listen,45.0
28.6,infer,180.0
28.6005,idle_listen,45.0
28.7,infer,180.0
28.7005,idle_listen,45.0
28.8,infer,180.0
28.8005,idle_listen,45.0
28.9,infer,180.0
28.9005,idle_listen,45.0
29.0,infer,180.0
29.0005,idle_listen,45.0
29.1,infer,180.0
29.1005,idle_listen,45.0
29.2,infer,180.0
29.2005,idle_listen,45.0
29.3,infer,180.0
29.3005,idle_listen,45.0
29.4,infer,180.0
29.4005,idle_listen,45.0
29.5,infer,180.0
29.5005,idle_listen,45.0
29.6,infer,180.0
29.6005,idle_listen,45.0
29.7,infer,180.0
29.7005,idle_listen,45.0
29.8,infer,180.0
29.8005,idle_listen,45.0
29.9,infer,180.0
29.9005,idle_listen,45.0
30.0,infer,180.0
30.0005,idle_listen,45.0
30.1,infer,180.0
30.1005,idle_listen,45.0
30.2,infer,180.0
30.2005,idle_listen,45.0
30.3,infer,180.0
30.3005,idle_listen,45.0
30.4,infer,180.0
30.4005,idle_listen,45.0
30.5,infer,180.0
30.5005,idle_listen,45.0
30.6,infer,180.0
30.6005,idle_listen,45.0
30.7,infer,180.0
30.7005,idle_listen,45.0
30.8,infer,180.0
30.8005,idle_listen,45.0
30.9,infer,180.0
30.9005,idle_listen,45.0
31.0,infer,180.0
31.0005,idle_listen,45.0
31.1,infer,180.0
31.1005,idle_listen,45.0
31.2,infer,180.0
31.2005,idle_listen,45.0
31.3,infer,180.0
31.3005,idle_listen,45.0
31.4,infer,180.0
31.4005,idle_listen,45.0
31.5,infer,180.0
31.5005,idle_listen,45.0
31.6,infer,180.0
31.6005,idle_listen,45.0
31.7,infer,180.0
31.7005,idle_listen,45.0
31.8,infer,180.0
31.8005,idle_listen,45.0
31.9,infer,180.0
31.9005,idle_listen,45.0
32.0,infer,180.0
32.0005,idle_listen,45.0
32.1,infer,180.0
32.1005,idle_listen,45.0
32.2,infer,180.0
32.2005,idle_listen,45.0
32.3,infer,180.0
32.3005,idle_listen,45.0
32.4,infer,180.0
32.4005,idle_listen,45.0
32.5,infer,180.0
32.5005,idle_listen,45.0
32.6,infer,180.0
32.6005,idle_listen,45.0
32.7,infer,180.0
32.7005,idle_listen,45.0
32.8,infer,180.0
32.8005,idle_listen,45.0
32.9,infer,180.0
32.9005,idle_listen,45.0
33.0,infer,180.0
33.0005,idle_listen,45.0
33.1,infer,180.0
33.1005,idle_listen,45.0
33.2,infer,180.0
33.2005,idle_listen,45.0
33.3,infer,180.0
33.3005,idle_listen,45.0
33.4,infer,180.0
33.4005,idle_listen,45.0
33.5,infer,180.0
33.5005,idle_listen,45.0
33.6,infer,180.0
33.6005,idle_listen,45.0
33.7,infer,180.0
33.7005,idle_listen,45.0
33.8,infer,180.0
33.8005,idle_listen,45.0
33.9,infer,180.0
33.9005,idle_listen,45.0
34.0,infer,180.0
34.0005,idle_listen,45.0
34.1,infer,180.0
34.1005,idle_listen,45.0
34.2,infer,180.0
34.2005,idle_listen,45.0
34.3,infer,180.0
34.3005,idle_listen,45.0
34.4,infer,180.0
34.4005,idle_listen,45.0
34.5,infer,180.0
34.5005,idle_listen,45.0
34.6,infer,180.0
34.6005,idle_listen,45.0
34.7,infer,180.0
34.7005,idle_listen,45.0
34.8,infer,180.0
34.8005,idle_listen,45.0
34.9,infer,180.0
34.9005,idle_listen,45.0
35.0,infer,180.0
35.0005,idle_listen,45.0
35.1,infer,180.0
35.1005,idle_listen,45.0
35.2,infer,180.0
35.2005,idle_listen,45.0
35.3,infer,180.0
35.3005,idle_listen,45.0
35.4,infer,180.0
35.4005,idle_listen,45.0
35.5,infer,180.0
35.5005,idle_listen,45.0
35.6,infer,180.0
35.6005,idle_listen,45.0
35.7,infer,180.0
35.7005,idle_listen,45.0
35.8,infer,180.0
35.8005,idle_listen,45.0
35.9,infer,180.0
35.9005,idle_listen,45.0
36.0,infer,180.0
36.0005,idle_listen,45.0
36.1,infer,180.0
36.1005,idle_listen,45.0
36.2,infer,180.0
36.2005,idle_listen,45.0
36.3,infer,180.0
36.3005,idle_listen,45.0
36.4,infer,180.0
36.4005,idle_listen,45.0
36.5,infer,180.0
36.5005,idle_listen,45.0
36.6,infer,180.0
36.6005,idle_listen,45.0
36.7,infer,180.0
36.7005,idle_listen,45.0
36.8,infer,180.0
36.8005,idle_listen,45.0
36.9,infer,180.0
36.9005,idle_listen,45.0
37.0,infer,180.0
37.0005,idle_listen,45.0
37.1,infer,180.0
37.1005,idle_listen,45.0
37.2,infer,180.0
37.2005,idle_listen,45.0
37.3,infer,180.0
37.3005,idle_listen,45.0
37.4,infer,180.0
37.4005,idle_listen,45.0
37.5,infer,180.0
37.5005,idle_listen,45.0
37.6,infer,180.0
37.6005,idle_listen,45.0
37.7,infer,180.0
37.7005,idle_listen,45.0
37.8,infer,180.0
37.8005,idle_listen,45.0
37.9,infer,180.0
37.9005,idle_listen,45.0
38.0,infer,180.0
38.0005,idle_listen,45.0
38.1,infer,180.0
38.1005,idle_listen,45.0
38.2,infer,180.0
38.2005,idle_listen,45.0
38.3,infer,180.0
38.3005,idle_listen,45.0
38.4,infer,180.0
38.4005,idle_listen,45.0
38.5,infer,180.0
38.5005,idle_listen,45.0
38.6,infer,180.0
38.6005,idle_listen,45.0
38.7,infer,180.0
38.7005,idle_listen,45.0
38.8,infer,180.0
38.8005,idle_listen,45.0
38.9,infer,180.0
38.9005,idle_listen,45.0
39.0,infer,180.0
39.0005,idle_listen,45.0
39.1,infer,180.0
39.1005,idle_listen,45.0
39.2,infer,180.0
39.2005,idle_listen,45.0
39.3,infer,180.0
39.3005,idle_listen,45.0
39.4,infer,180.0
39.4005,idle_listen,45.0
39.5,infer,180.0
39.5005,idle_listen,45.0
39.6,infer,180.0
39.6005,idle_listen,45.0
39.7,infer,180.0
39.7005,idle_listen,45.0
39.8,infer,180.0
39.8005,idle_listen,45.0
39.9,infer,180.0
39.9005,idle_listen,45.0
40.0,infer,180.0
40.0005,idle_listen,45.0
40.1,infer,180.0
40.1005,idle_listen,45.0
40.2,infer,180.0
40.2005,idle_listen,45.0
40.3,infer,180.0
40.3005,idle_listen,45.0
40.4,infer,180.0
40.4005,idle_listen,45.0
40.5,infer,180.0
40.5005,idle_listen,45.0
40.6,infer,180.0
40.6005,idle_listen,45.0
40.7,infer,180.0
40.7005,idle_listen,45.0
40.8,infer,180.0
40.8005,idle_listen,45.0
40.9,infer,180.0
40.9005,idle_listen,45.0
41.0,infer,180.0
41.0005,idle_listen,45.0
41.1,infer,180.0
41.1005,idle_listen,45.0
41.2,infer,180.0
41.2005,idle_listen,45.0
41.3,infer,180.0
41.3005,idle_listen,45.0
41.4,infer,180.0
41.4005,idle_listen,45.0
41.5,infer,180.0
41.5005,idle_listen,45.0
41.6,infer,180.0
41.6005,idle_listen,45.0
41.7,infer,180.0
41.7005,idle_listen,45.0
41.8,infer,180.0
41.8005,idle_listen,45.0
41.9,infer,180.0
41.9005,idle_listen,45.0
42.0,infer,180.0
42.0005,idle_listen,45.0
42.1,infer,180.0
42.1005,idle_listen,45.0
42.2,infer,180.0
42.2005,idle_listen,45.0
42.3,infer,180.0
42.3005,idle_listen,45.0
42.4,infer,180.0
42.4005,idle_listen,45.0
42.5,infer,180.0
42.5005,idle_listen,45.0
42.6,infer,180.0
42.6005,idle_listen,45.0
42.7,infer,180.0
42.7005,idle_listen,45.0
42.8,infer,180.0
42.8005,idle_listen,45.0
42.9,infer,180.0
42.9005,idle_listen,45.0
43.0,infer,180.0
43.0005,idle_listen,45.0
43.1,infer,180.0
43.1005,idle_listen,45.0
43.2,infer,180.0
43.2005,idle_listen,45.0
43.3,infer,180.0
43.3005,idle_listen,45.0
43.4,infer,180.0
43.4005,idle_listen,45.0
43.5,infer,180.0
43.5005,idle_listen,45.0
43.6,infer,180.0
43.6005,idle_listen,45.0
43.7,infer,180.0
43.7005,idle_listen,45.0
43.8,infer,180.0
43.8005,idle_listen,45.0
43.9,infer,180.0
43.9005,idle_listen,45.0
44.0,infer,180.0
44.0005,idle_listen,45.0
44.1,infer,180.0
44.1005,idle_listen,45.0
44.2,infer,180.0
44.2005,idle_listen,45.0
44.3,infer,180.0
44.3005,idle_listen,45.0
44.4,infer,180.0
44.4005,idle_listen,45.0
44.5,infer,180.0
44.5005,idle_listen,45.0
44.6,infer,180.0
44.6005,idle_listen,45.0
44.7,infer,180.0
44.7005,idle_listen,45.0
44.8,infer,180.0
44.8005,idle_listen,45.0
44.9,infer,180.0
44.9005,idle_listen,45.0
45.0,infer,180.0
45.0005,idle_listen,45.0
45.1,infer,180.0
45.1005,idle_listen,45.0
45.2,infer,180.0
45.2005,idle_listen,45.0
45.3,infer,180.0
45.3005,idle_listen,45.0
45.4,infer,180.0
45.4005,idle_listen,45.0
45.5,infer,180.0
45.5005,idle_listen,45.0
45.6,infer,180.0
45.6005,idle_listen,45.0
45.7,infer,180.0
45.7005,idle_listen,45.0
45.8,infer,180.0
45.8005,idle_listen,45.0
45.9,infer,180.0
45.9005,idle_listen,45.0
46.0,infer,180.0
46.0005,idle_listen,45.0
46.1,infer,180.0
46.1005,idle_listen,45.0
46.2,infer,180.0
46.2005,idle_listen,45.0
46.3,infer,180.0
46.3005,idle_listen,45.0
46.4,infer,180.0
46.4005,idle_listen,45.0
46.5,infer,180.0
46.5005,idle_listen,45.0
46.6,infer,180.0
46.6005,idle_listen,45.0
46.7,infer,180.0
46.7005,idle_listen,45.0
46.8,infer,180.0
46.8005,idle_listen,45.0
46.9,infer,180.0
46.9005,idle_listen,45.0
47.0,infer,180.0
47.0005,idle_listen,45.0
47.1,infer,180.0
47.1005,idle_listen,45.0
47.2,infer,180.0
47.2005,idle_listen,45.0
47.3,infer,180.0
47.3005,idle_listen,45.0
47.4,infer,180.0
47.4005,idle_listen,45.0
47.5,infer,180.0
47.5005,idle_listen,45.0
47.6,infer,180.0
47.6005,idle_listen,45.0
47.7,infer,180.0
47.7005,idle_listen,45.0
47.8,infer,180.0
47.8005,idle_listen,45.0
47.9,infer,180.0
47.9005,idle_listen,45.0
48.0,infer,180.0
48.0005,idle_listen,45.0
48.1,infer,180.0
48.1005,idle_listen,45.0
48.2,infer,180.0
48.2005,idle_listen,45.0
48.3,infer,180.0
48.3005,idle_listen,45.0
48.4,infer,180.0
48.4005,idle_listen,45.0
48.5,infer,180.0
48.5005,idle_listen,45.0
48.6,infer,180.0
48.6005,idle_listen,45.0
48.7,infer,180.0
48.7005,idle_listen,45.0
48.8,infer,180.0
48.8005,idle_listen,45.0
48.9,infer,180.0
48.9005,idle_listen,45.0
49.0,infer,180.0
49.0005,idle_listen,45.0
49.1,infer,180.0
49.1005,idle_listen,45.0
49.2,infer,180.0
49.2005,idle_listen,45.0
49.3,infer,180.0
49.3005,idle_listen,45.0
49.4,infer,180.0
49.4005,idle_listen,45.0
49.5,infer,180.0
49.5005,idle_listen,45.0
49.6,infer,180.0
49.6005,idle_listen,45.0
49.7,infer,180.0
49.7005,idle_listen,45.0
49.8,infer,180.0
49.8005,idle_listen,45.0
49.9,infer,180.0
49.9005,idle_listen,45.0
50.0,infer,180.0
50.0005,idle_listen,45.0
50.1,infer,180.0
50.1005,idle_listen,45.0
50.2,infer,180.0
50.2005,idle_listen,45.0
50.3,infer,180.0
50.3005,idle_listen,45.0
50.4,infer,180.0
50.4005,idle_listen,45.0
50.5,infer,180.0
50.5005,idle_listen,45.0
50.6,infer,180.0
50.6005,idle_listen,45.0
50.7,infer,180.0
50.7005,idle_listen,45.0
50.8,infer,180.0
50.8005,idle_listen,45.0
50.9,infer,180.0
50.9005,idle_listen,45.0
51.0,infer,180.0
51.0005,idle_listen,45.0
51.1,infer,180.0
51.1005,idle_listen,45.0
51.2,infer,180.0
51.2005,idle_listen,45.0
51.3,infer,180.0
51.3005,idle_listen,45.0
51.4,infer,180.0
51.4005,idle_listen,45.0
51.5,infer,180.0
51.5005,idle_listen,45.0
51.6,infer,180.0
51.6005,idle_listen,45.0
51.7,infer,180.0
51.7005,idle_listen,45.0
51.8,infer,180.0
51.8005,idle_listen,45.0
51.9,infer,180.0
51.9005,idle_listen,45.0
52.0,infer,180.0
52.0005,idle_listen,45.0
52.1,infer,180.0
52.1005,idle_listen,45.0
52.2,infer,180.0
52.2005,idle_listen,45.0
52.3,infer,180.0
52.3005,idle_listen,45.0
52.4,infer,180.0
52.4005,idle_listen,45.0
52.5,infer,180.0
52.5005,idle_listen,45.0
52.6,infer,180.0
52.6005,idle_listen,45.0
52.7,infer,180.0
52.7005,idle_listen,45.0
52.8,infer,180.0
52.8005,idle_listen,45.0
52.9,infer,180.0
52.9005,idle_listen,45.0
53.0,infer,180.0
53.0005,idle_listen,45.0
53.1,infer,180.0
53.1005,idle_listen,45.0
53.2,infer,180.0
53.2005,idle_listen,45.0
53.3,infer,180.0
53.3005,idle_listen,45.0
53.4,infer,180.0
53.4005,idle_listen,45.0
53.5,infer,180.0
53.5005,idle_listen,45.0
53.6,infer,180.0
53.6005,idle_listen,45.0
